Date,Year,Cnt_Mth,Title,Incident_Area,Location,Open/Close_Location,Target,Cause,Summary,Fatalities,Injured,Total_victims,Age,Employeed_(Y/N),Employed_at,Mental_Health_Issues,Race,Gender,Latitude,Longitude
8/27/2003,2003,13,Windy City Core Supply Warehouse,Workplace,"Chicago, Illinois",Close,Coworkers,unemployement,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,36,0,,No,Other,Male,41.83928045,-87.68818145
11/21/2004,2004,12,"Birchwood, Wisconsin",Outside of Home/Misc,"Birchwood, Wisconsin",Open,hunters,anger,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,36,0,,No,Asian,Male,45.65773714,-91.55077175
12/8/2004,2004,13,Damageplan show shooting,Concert/Show,"Columbus, Ohio",Open+Close,random,frustration,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,25,0,,Yes,White,Male,39.98861445,-82.98904135
2/24/2005,2005,41,Tyler Courthouse,Courthouse/City Hall,"Tyler, Texas",Open,Ex-Wife,frustration,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",3,4,6,43,0,,Unknown,Other,Male,32.3154272,-95.30501087
3/12/2005,2005,31,Living Church of God shooting,Church/Temple,"Brookfield, Wisconsin",Close,random,frustration,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,44,0,,No,White,Male,43.06396691,-88.12299758
3/21/2005,2005,30,Red Lake massacre,School,"Red Lake, Minnesota",Close,random,psycho,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,16,0,,Yes,Native American,Male,47.87067289,-95.00529009
1/30/2006,2006,21,Goleta postal shootings,Post Office,"Goleta, California",Close,Coworkers,psycho,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,44,1,Goleta Post Office,Yes,White,Female,34.43606107,-119.8593619
3/25/2006,2006,29,"Party in Capitol Hill, Seattle",Party,"Seattle, Washington",Unknown,random,drunk,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,28,0,,No,White,Male,47.6229,-122.3165
8/24/2006,2006,12,Essex Elementary School,School,"Essex Junction, Vermont",Close,Ex-GirlFriend,psycho,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,26,0,,Yes,Black,Male,44.49022039,-73.11400628
8/30/2006,2006,11,Orange High School,School,"Hillsborough, North Carolina",Close,random,psycho,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,18,0,,Yes,Other,Male,36.04099857,-79.09701201
